City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change,Distance_to_Port_km,Nearest_Port
Agartala,April 2026,₹ 1073.5,—,₹ 2421.5,▲ ₹220,386.44,"Haldia Port, West Bengal"
Agartala,March 2026,₹ 1073.5,▲ ₹60,₹ 2201.5,▲ ₹144,386.44,"Haldia Port, West Bengal"
Agartala,Febraury 2026,₹ 1013.5,—,₹ 2057.5,▲ ₹49.5,386.44,"Haldia Port, West Bengal"
Ahmedabad,April 2026,₹ 920.0,—,₹ 2098.0,▲ ₹195,242.08,"Kandla Port, Gujarat"
Ahmedabad,March 2026,₹ 920.0,▲ ₹60,₹ 1903.0,▲ ₹144,242.08,"Kandla Port, Gujarat"
Ahmedabad,Febraury 2026,₹ 860.0,—,₹ 1759.0,▲ ₹49.5,242.08,"Kandla Port, Gujarat"
Aizawl,April 2026,₹ 1065.0,—,₹ 2551.0,▲ ₹219,513.92,"Haldia Port, West Bengal"
Aizawl,March 2026,₹ 1065.0,▲ ₹60,₹ 2332.0,▲ ₹144,513.92,"Haldia Port, West Bengal"
Aizawl,Febraury 2026,₹ 1005.0,—,₹ 2188.0,▲ ₹49.5,513.92,"Haldia Port, West Bengal"
Amritsar,April 2026,₹ 954.0,—,₹ 2185.0,▲ ₹193,1060.6,"Kandla Port, Gujarat"
Amritsar,March 2026,₹ 954.0,▲ ₹60,₹ 1992.0,▲ ₹144,1060.6,"Kandla Port, Gujarat"
Amritsar,Febraury 2026,₹ 894.0,—,₹ 1848.0,▲ ₹49.5,1060.6,"Kandla Port, Gujarat"
Bengaluru,April 2026,₹ 915.5,—,₹ 2161.0,▲ ₹203,298.64,"Ennore Port, Tamil Nadu"
Bengaluru,March 2026,₹ 915.5,▲ ₹60,₹ 1958.0,▲ ₹144,298.64,"Ennore Port, Tamil Nadu"
Bengaluru,Febraury 2026,₹ 855.5,—,₹ 1814.0,▲ ₹49.5,298.64,"Ennore Port, Tamil Nadu"
Bhopal,April 2026,₹ 918.5,—,₹ 2084.0,▲ ₹195,662.64,"Pipavav Port, Gujarat"
Bhopal,March 2026,₹ 918.5,▲ ₹60,₹ 1889.0,▲ ₹144,662.64,"Pipavav Port, Gujarat"
Bhopal,Febraury 2026,₹ 858.5,—,₹ 1745.0,▲ ₹49.5,662.64,"Pipavav Port, Gujarat"
Bhubaneswar,April 2026,₹ 939.0,—,₹ 2245.0,▲ ₹216,302.19,"Haldia Port, West Bengal"
Bhubaneswar,March 2026,₹ 939.0,▲ ₹60,₹ 2029.0,▲ ₹144,302.19,"Haldia Port, West Bengal"
Bhubaneswar,Febraury 2026,₹ 879.0,—,₹ 1885.0,▲ ₹49.5,302.19,"Haldia Port, West Bengal"
Chandigarh,April 2026,₹ 922.5,—,₹ 2099.5,▲ ₹195,1074.97,"Kandla Port, Gujarat"
Chandigarh,March 2026,₹ 922.5,▲ ₹60,₹ 1904.5,▲ ₹144,1074.97,"Kandla Port, Gujarat"
Chandigarh,Febraury 2026,₹ 862.5,—,₹ 1760.5,▲ ₹49.5,1074.97,"Kandla Port, Gujarat"
Chennai,April 2026,₹ 928.5,—,₹ 2246.5,▲ ₹203,19.51,"Ennore Port, Tamil Nadu"
Chennai,March 2026,₹ 928.5,▲ ₹60,₹ 2043.5,▲ ₹144,19.51,"Ennore Port, Tamil Nadu"
Chennai,Febraury 2026,₹ 868.5,—,₹ 1899.5,▲ ₹49.5,19.51,"Ennore Port, Tamil Nadu"
Dehradun,April 2026,₹ 932.0,—,₹ 2131.5,▲ ₹194,1123.19,"Kandla Port, Gujarat"
Dehradun,March 2026,₹ 932.0,▲ ₹60,₹ 1937.5,▲ ₹144,1123.19,"Kandla Port, Gujarat"
Dehradun,Febraury 2026,₹ 872.0,—,₹ 1793.5,▲ ₹49.5,1123.19,"Kandla Port, Gujarat"
Diu,April 2026,₹ 927.5,—,₹ 2062.0,▲ ₹194,57.41,"Pipavav Port, Gujarat"
Diu,March 2026,₹ 927.5,▲ ₹60,₹ 1868.0,▲ ₹144,57.41,"Pipavav Port, Gujarat"
Diu,Febraury 2026,₹ 867.5,—,₹ 1724.0,▲ ₹49.5,57.41,"Pipavav Port, Gujarat"
Fatehabad,April 2026,₹ 942.0,—,₹ 2157.5,▲ ₹195,898.87,"Kandla Port, Gujarat"
Fatehabad,March 2026,₹ 942.0,▲ ₹60,₹ 1962.5,▲ ₹144,898.87,"Kandla Port, Gujarat"
Fatehabad,Febraury 2026,₹ 882.0,—,₹ 1818.5,▲ ₹49.5,898.87,"Kandla Port, Gujarat"
Gangtok,April 2026,₹ 1065.5,—,₹ 2584.0,▲ ₹220,590.11,"Haldia Port, West Bengal"
Gangtok,March 2026,₹ 1065.5,▲ ₹60,₹ 2364.0,▲ ₹144,590.11,"Haldia Port, West Bengal"
Gangtok,Febraury 2026,₹ 1005.5,—,₹ 2220.0,▲ ₹49.5,590.11,"Haldia Port, West Bengal"
Goa Panaji,April 2026,₹ 927.0,—,₹ 2145.0,▲ ₹195,303.45,"Mangalore Port, Karnataka"
Goa Panaji,March 2026,₹ 927.0,▲ ₹60,₹ 1950.0,▲ ₹144,303.45,"Mangalore Port, Karnataka"
Goa Panaji,Febraury 2026,₹ 867.0,—,₹ 1806.0,▲ ₹49.5,303.45,"Mangalore Port, Karnataka"
Guntur Amaravathi,April 2026,₹ 937.5,—,₹ 2244.5,▲ ₹202,341.63,"Ennore Port, Tamil Nadu"
Guntur Amaravathi,March 2026,₹ 937.5,▲ ₹60,₹ 2042.5,▲ ₹144,341.63,"Ennore Port, Tamil Nadu"
Guntur Amaravathi,Febraury 2026,₹ 877.5,—,₹ 1898.5,▲ ₹49.5,341.63,"Ennore Port, Tamil Nadu"
Guwahati,April 2026,₹ 962.0,—,₹ 2300.0,▲ ₹220,594.01,"Haldia Port, West Bengal"
Guwahati,March 2026,₹ 962.0,▲ ₹60,₹ 2080.0,▲ ₹144,594.01,"Haldia Port, West Bengal"
Guwahati,Febraury 2026,₹ 902.0,—,₹ 1936.0,▲ ₹49.5,594.01,"Haldia Port, West Bengal"
Hyderabad,April 2026,₹ 905.0,—,₹ 2176.5,▲ ₹215,496.58,"Ennore Port, Tamil Nadu"
Hyderabad,March 2026,₹ 905.0,▲ ₹60,₹ 1961.5,▲ ₹144,496.58,"Ennore Port, Tamil Nadu"
Hyderabad,Febraury 2026,₹ 845.0,—,₹ 1817.5,▲ ₹49.5,496.58,"Ennore Port, Tamil Nadu"
