Products,April,May,June,July,August,September,October,November,December,January,February,March,Total,Unnamed: 14
LPG,2545,2682,2554,2810,2833,2794,2871,2843,3067,3012,2822,2379,33212,
Naphtha,935,945,984,962,1065,1010,924,918,986,1057,1012,943,11741,
MS,3449,3782,3522,3493,3544,3399,3665,3517,3555,3511,3369,3779,42586,
ATF,772,776,730,710,710,720,773,788,784,827,764,807,9161,
SKO,26,39,41,36,34,37,43,43,42,38,38,44,460,
HSD,8261,8592,8105,7356,6577,6786,7620,8557,8470,7993,7661,8726,94704,
LDO,86,81,86,86,80,90,75,88,76,83,82,95,1009,
Lubricants & Greases,398,364,393,393,373,461,415,401,451,371,411,483,4914,
FO & LSHS,494,504,498,489,501,526,566,545,550,548,528,649,6397,
Bitumen,862,857,699,426,369,507,604,884,873,822,921,1017,8841,
Petroleum coke,1562,1810,1504,1720,2239,1495,1567,1330,1774,1391,1722,1730,19845,
Others,837,874,926,874,818,807,827,869,964,953,859,713,10322,
TOTAL,20227,21306,20042,19354,19143,18632,19952,20782,21594,20605,20190,21367,243192,
"NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026.","NOTE : P-Provisional, domestic consumption data as per 'Y2 report for FY2025-26' published on 06.04.2026."
