City,Month,Domestic Price,Domestic Change,Commercial Price,Commercial Change
Agartala,April 2026,₹ 1073.5,—,₹ 2421.5,▲ ₹220
Agartala,March 2026,₹ 1073.5,▲ ₹60,₹ 2201.5,▲ ₹144
Agartala,Febraury 2026,₹ 1013.5,—,₹ 2057.5,▲ ₹49.5
Ahmedabad,April 2026,₹ 920.0,—,₹ 2098.0,▲ ₹195
Ahmedabad,March 2026,₹ 920.0,▲ ₹60,₹ 1903.0,▲ ₹144
Ahmedabad,Febraury 2026,₹ 860.0,—,₹ 1759.0,▲ ₹49.5
Aizawl,April 2026,₹ 1065.0,—,₹ 2551.0,▲ ₹219
Aizawl,March 2026,₹ 1065.0,▲ ₹60,₹ 2332.0,▲ ₹144
Aizawl,Febraury 2026,₹ 1005.0,—,₹ 2188.0,▲ ₹49.5
Amritsar,April 2026,₹ 954.0,—,₹ 2185.0,▲ ₹193
Amritsar,March 2026,₹ 954.0,▲ ₹60,₹ 1992.0,▲ ₹144
Amritsar,Febraury 2026,₹ 894.0,—,₹ 1848.0,▲ ₹49.5
Bengaluru,April 2026,₹ 915.5,—,₹ 2161.0,▲ ₹203
Bengaluru,March 2026,₹ 915.5,▲ ₹60,₹ 1958.0,▲ ₹144
Bengaluru,Febraury 2026,₹ 855.5,—,₹ 1814.0,▲ ₹49.5
Bhopal,April 2026,₹ 918.5,—,₹ 2084.0,▲ ₹195
Bhopal,March 2026,₹ 918.5,▲ ₹60,₹ 1889.0,▲ ₹144
Bhopal,Febraury 2026,₹ 858.5,—,₹ 1745.0,▲ ₹49.5
Bhubaneswar,April 2026,₹ 939.0,—,₹ 2245.0,▲ ₹216
Bhubaneswar,March 2026,₹ 939.0,▲ ₹60,₹ 2029.0,▲ ₹144
Bhubaneswar,Febraury 2026,₹ 879.0,—,₹ 1885.0,▲ ₹49.5
Chandigarh,April 2026,₹ 922.5,—,₹ 2099.5,▲ ₹195
Chandigarh,March 2026,₹ 922.5,▲ ₹60,₹ 1904.5,▲ ₹144
Chandigarh,Febraury 2026,₹ 862.5,—,₹ 1760.5,▲ ₹49.5
Chennai,April 2026,₹ 928.5,—,₹ 2246.5,▲ ₹203
Chennai,March 2026,₹ 928.5,▲ ₹60,₹ 2043.5,▲ ₹144
Chennai,Febraury 2026,₹ 868.5,—,₹ 1899.5,▲ ₹49.5
Dehradun,April 2026,₹ 932.0,—,₹ 2131.5,▲ ₹194
Dehradun,March 2026,₹ 932.0,▲ ₹60,₹ 1937.5,▲ ₹144
Dehradun,Febraury 2026,₹ 872.0,—,₹ 1793.5,▲ ₹49.5
Diu,April 2026,₹ 927.5,—,₹ 2062.0,▲ ₹194
Diu,March 2026,₹ 927.5,▲ ₹60,₹ 1868.0,▲ ₹144
Diu,Febraury 2026,₹ 867.5,—,₹ 1724.0,▲ ₹49.5
Fatehabad,April 2026,₹ 942.0,—,₹ 2157.5,▲ ₹195
Fatehabad,March 2026,₹ 942.0,▲ ₹60,₹ 1962.5,▲ ₹144
Fatehabad,Febraury 2026,₹ 882.0,—,₹ 1818.5,▲ ₹49.5
Gangtok,April 2026,₹ 1065.5,—,₹ 2584.0,▲ ₹220
Gangtok,March 2026,₹ 1065.5,▲ ₹60,₹ 2364.0,▲ ₹144
Gangtok,Febraury 2026,₹ 1005.5,—,₹ 2220.0,▲ ₹49.5
Goa Panaji,April 2026,₹ 927.0,—,₹ 2145.0,▲ ₹195
Goa Panaji,March 2026,₹ 927.0,▲ ₹60,₹ 1950.0,▲ ₹144
Goa Panaji,Febraury 2026,₹ 867.0,—,₹ 1806.0,▲ ₹49.5
Guntur Amaravathi,April 2026,₹ 937.5,—,₹ 2244.5,▲ ₹202
Guntur Amaravathi,March 2026,₹ 937.5,▲ ₹60,₹ 2042.5,▲ ₹144
Guntur Amaravathi,Febraury 2026,₹ 877.5,—,₹ 1898.5,▲ ₹49.5
Guwahati,April 2026,₹ 962.0,—,₹ 2300.0,▲ ₹220
Guwahati,March 2026,₹ 962.0,▲ ₹60,₹ 2080.0,▲ ₹144
Guwahati,Febraury 2026,₹ 902.0,—,₹ 1936.0,▲ ₹49.5
Hyderabad,April 2026,₹ 905.0,—,₹ 2176.5,▲ ₹215
Hyderabad,March 2026,₹ 905.0,▲ ₹60,₹ 1961.5,▲ ₹144
Hyderabad,Febraury 2026,₹ 845.0,—,₹ 1817.5,▲ ₹49.5
Imphal,April 2026,₹ 1064.5,—,₹ 2552.5,▲ ₹220
Imphal,March 2026,₹ 1064.5,▲ ₹60,₹ 2332.5,▲ ₹144
Imphal,Febraury 2026,₹ 1004.5,—,₹ 2188.5,▲ ₹49.5
Itanagar,April 2026,₹ 978.5,—,₹ 2331.5,▲ ₹220
Itanagar,March 2026,₹ 978.5,▲ ₹60,₹ 2111.5,▲ ₹144
Itanagar,Febraury 2026,₹ 918.5,—,₹ 1967.5,▲ ₹49.5
Jaipur,April 2026,₹ 916.5,—,₹ 2106.0,▲ ₹193
Jaipur,March 2026,₹ 916.5,▲ ₹60,₹ 1913.0,▲ ₹144
Jaipur,Febraury 2026,₹ 856.5,—,₹ 1769.0,▲ ₹49.5
Kavaratti,April 2026,₹ 933.0,—,₹ 2149.5,▲ ₹200
Kavaratti,March 2026,₹ 933.0,▲ ₹60,₹ 1949.5,▲ ₹144
Kavaratti,Febraury 2026,₹ 873.0,—,₹ 1805.5,▲ ₹49.5
Kohima,April 2026,₹ 932.0,—,₹ 2182.5,▲ ₹219
Kohima,March 2026,₹ 932.0,▲ ₹60,₹ 1963.5,▲ ₹144
Kohima,Febraury 2026,₹ 872.0,—,₹ 1819.5,▲ ₹49.5
Kolkata,April 2026,₹ 939.0,—,₹ 2208.5,▲ ₹220
Kolkata,March 2026,₹ 939.0,▲ ₹60,₹ 1988.5,▲ ₹144
Kolkata,Febraury 2026,₹ 879.0,—,₹ 1844.5,▲ ₹49.5
Leh,April 2026,₹ 1045.5,—,₹ 2411.5,▲ ₹195
Leh,March 2026,₹ 1045.5,▲ ₹60,₹ 2216.5,▲ ₹144
Leh,Febraury 2026,₹ 985.5,—,₹ 2072.5,▲ ₹49.5
Lucknow,April 2026,₹ 950.5,—,₹ 2201.0,▲ ₹194
Lucknow,March 2026,₹ 950.5,▲ ₹60,₹ 2007.0,▲ ₹144
Lucknow,Febraury 2026,₹ 890.5,—,₹ 1863.0,▲ ₹49.5
Mumbai,April 2026,₹ 912.5,—,₹ 2031.0,▲ ₹195
Mumbai,March 2026,₹ 912.5,▲ ₹60,₹ 1836.0,▲ ₹144
Mumbai,Febraury 2026,₹ 852.5,—,₹ 1692.0,▲ ₹49.5
New Delhi,April 2026,₹ 913.0,—,₹ 2078.5,▲ ₹194
New Delhi,March 2026,₹ 913.0,▲ ₹60,₹ 1884.5,▲ ₹144
New Delhi,Febraury 2026,₹ 853.0,—,₹ 1740.5,▲ ₹49.5
Patna,April 2026,₹ 1002.5,—,₹ 2353.5,▲ ₹220
Patna,March 2026,₹ 1002.5,▲ ₹60,₹ 2133.5,▲ ₹144
Patna,Febraury 2026,₹ 942.5,—,₹ 1989.5,▲ ₹49.5
Pondicherry,April 2026,₹ 925.0,—,₹ 2245.5,▲ ₹203
Pondicherry,March 2026,₹ 925.0,▲ ₹60,₹ 2042.5,▲ ₹144
Pondicherry,Febraury 2026,₹ 865.0,—,₹ 1898.5,▲ ₹49.5
Port Blair,April 2026,₹ 989.0,—,₹ 2496.5,▲ ₹219
Port Blair,March 2026,₹ 989.0,▲ ₹60,₹ 2277.5,▲ ₹144
Port Blair,Febraury 2026,₹ 929.0,—,₹ 2133.5,▲ ₹49.5
Raipur,April 2026,₹ 984.0,—,₹ 2299.5,▲ ₹214
Raipur,March 2026,₹ 984.0,▲ ₹60,₹ 2085.5,▲ ₹144
