City,State,Domestic_14kg_INR,Commercial_19kg_INR,Comm_to_Dom_Ratio,Scraped_Date,Source
Agartala,Tripura,1073.5,2421.5,2.26,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Ahmedabad,Gujarat,920.0,2098.0,2.28,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Aizawl,Mizoram,1065.0,2551.0,2.4,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Amritsar,Punjab,954.0,2185.0,2.29,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Bengaluru,Karnataka,915.5,2161.0,2.36,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Bhopal,Madhya Pradesh,918.5,2084.0,2.27,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Bhubaneswar,Odisha,939.0,2245.0,2.39,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Chandigarh,Chandigarh,922.5,2099.5,2.28,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Chennai,Tamil Nadu,928.5,2246.5,2.42,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Dehradun,Uttarakhand,932.0,2131.5,2.29,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Diu,Daman & Diu,927.5,2062.0,2.22,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Fatehabad,Haryana,942.0,2157.5,2.29,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Gangtok,Sikkim,1065.5,2584.0,2.43,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Goa Panaji,Goa,927.0,2145.0,2.31,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Guntur Amaravathi,Andhra Pradesh,937.5,2244.5,2.39,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Guwahati,Assam,962.0,2300.0,2.39,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Hyderabad,Telangana,905.0,2176.5,2.4,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Imphal,Manipur,1064.5,2552.5,2.4,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Itanagar,Arunachal Pradesh,978.5,2331.5,2.38,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Jaipur,Rajasthan,916.5,2106.0,2.3,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Kavaratti,Lakshadweep,933.0,2149.5,2.3,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Kohima,Nagaland,932.0,2182.5,2.34,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Kolkata,West Bengal,939.0,2208.5,2.35,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Leh,Ladakh,1045.5,2411.5,2.31,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Lucknow,Uttar Pradesh,950.5,2201.0,2.32,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Mumbai,Maharashtra,912.5,2031.0,2.23,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
New Delhi,Delhi,913.0,2078.5,2.28,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Patna,Bihar,1002.5,2353.5,2.35,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Pondicherry,Puducherry,925.0,2245.5,2.43,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Port Blair,Andaman & Nicobar,989.0,2496.5,2.52,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Raipur,Chhattisgarh,984.0,2299.5,2.34,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Ranchi,Jharkhand,970.5,2258.0,2.33,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Shillong,Meghalaya,980.0,2331.0,2.38,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Shimla,Himachal Pradesh,958.5,2191.5,2.29,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Silvassa,Dadra & Nagar Haveli,927.5,2062.0,2.22,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Srinagar,Jammu & Kashmir,1029.0,2385.0,2.32,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
Thiruvananthapuram,Kerala,922.0,2112.0,2.29,2026-04-23,https://www.petroldieselprice.com/lpg-gas-cylinder-price
