City,Month,Domestic Price,Commercial Price,Distance_to_Port_km,Nearest_Port,Avg_Brent_Crude_USD,LPG_Consumption_KT
Agartala,April,1073.5,2421.5,386.44,"Haldia Port, West Bengal",99.54937505722046,
Agartala,March,1073.5,2201.5,386.44,"Haldia Port, West Bengal",99.59954591230913,2379.0
Agartala,February,1013.5,2057.5,386.44,"Haldia Port, West Bengal",69.40684268349095,2822.0
Ahmedabad,April,920.0,2098.0,242.08,"Kandla Port, Gujarat",99.54937505722046,
Ahmedabad,March,920.0,1903.0,242.08,"Kandla Port, Gujarat",99.59954591230913,2379.0
Ahmedabad,February,860.0,1759.0,242.08,"Kandla Port, Gujarat",69.40684268349095,2822.0
Aizawl,April,1065.0,2551.0,513.92,"Haldia Port, West Bengal",99.54937505722046,
Aizawl,March,1065.0,2332.0,513.92,"Haldia Port, West Bengal",99.59954591230913,2379.0
Aizawl,February,1005.0,2188.0,513.92,"Haldia Port, West Bengal",69.40684268349095,2822.0
Amritsar,April,954.0,2185.0,1060.6,"Kandla Port, Gujarat",99.54937505722046,
Amritsar,March,954.0,1992.0,1060.6,"Kandla Port, Gujarat",99.59954591230913,2379.0
Amritsar,February,894.0,1848.0,1060.6,"Kandla Port, Gujarat",69.40684268349095,2822.0
Bengaluru,April,915.5,2161.0,298.64,"Ennore Port, Tamil Nadu",99.54937505722046,
Bengaluru,March,915.5,1958.0,298.64,"Ennore Port, Tamil Nadu",99.59954591230913,2379.0
Bengaluru,February,855.5,1814.0,298.64,"Ennore Port, Tamil Nadu",69.40684268349095,2822.0
Bhopal,April,918.5,2084.0,662.64,"Pipavav Port, Gujarat",99.54937505722046,
Bhopal,March,918.5,1889.0,662.64,"Pipavav Port, Gujarat",99.59954591230913,2379.0
Bhopal,February,858.5,1745.0,662.64,"Pipavav Port, Gujarat",69.40684268349095,2822.0
Bhubaneswar,April,939.0,2245.0,302.19,"Haldia Port, West Bengal",99.54937505722046,
Bhubaneswar,March,939.0,2029.0,302.19,"Haldia Port, West Bengal",99.59954591230913,2379.0
Bhubaneswar,February,879.0,1885.0,302.19,"Haldia Port, West Bengal",69.40684268349095,2822.0
Chandigarh,April,922.5,2099.5,1074.97,"Kandla Port, Gujarat",99.54937505722046,
Chandigarh,March,922.5,1904.5,1074.97,"Kandla Port, Gujarat",99.59954591230913,2379.0
Chandigarh,February,862.5,1760.5,1074.97,"Kandla Port, Gujarat",69.40684268349095,2822.0
Chennai,April,928.5,2246.5,19.51,"Ennore Port, Tamil Nadu",99.54937505722046,
Chennai,March,928.5,2043.5,19.51,"Ennore Port, Tamil Nadu",99.59954591230913,2379.0
Chennai,February,868.5,1899.5,19.51,"Ennore Port, Tamil Nadu",69.40684268349095,2822.0
Dehradun,April,932.0,2131.5,1123.19,"Kandla Port, Gujarat",99.54937505722046,
Dehradun,March,932.0,1937.5,1123.19,"Kandla Port, Gujarat",99.59954591230913,2379.0
Dehradun,February,872.0,1793.5,1123.19,"Kandla Port, Gujarat",69.40684268349095,2822.0
